"x","y","z","class"
-2.01581144332886,-6.90551614761353,-6.37432289123535,"bike"
-3.05095791816711,-8.86684608459473,-5.76140689849854,"bike"
-4.19506692886353,-9.54786396026611,-5.9248514175415,"bike"
-4.12696552276611,-8.28117179870605,-5.4208984375,"bike"
-4.12696552276611,-9.13925361633301,-5.08038949966431,"bike"
-4.97142696380615,-8.55357837677002,-4.9169454574585,"bike"
-3.84093809127808,-9.72492790222168,-4.93056583404541,"bike"
-3.35060548782349,-8.00876426696777,-3.99076199531555,"bike"
-4.05886363983154,-8.39013385772705,-4.50833511352539,"bike"
-2.73768997192383,-8.79874420166016,-4.69901990890503,"bike"
-2.36994051933289,-9.42528057098389,-5.63882398605347,"bike"
-2.75131034851074,-8.40375423431396,-5.81588840484619,"bike"
-1.96133005619049,-8.74426364898682,-7.08258104324341,"bike"
-2.3835608959198,-6.63310956954956,-6.48328542709351,"bike"
-4.08610439300537,-5.84312915802002,-5.81588840484619,"bike"
-2.02943181991577,-3.55491065979004,-8.18582916259766,"bike"
-0.803600490093231,-4.05886363983154,-7.51843214035034,"bike"
-0.980665028095245,-1.37565517425537,-7.2324047088623,"bike"
-1.11686849594116,-1.44375681877136,-7.35498762130737,"bike"
-0.612915635108948,-2.16563534736633,-7.68187618255615,"bike"
-2.02943181991577,-4.93056583404541,-7.02809953689575,"bike"
-1.6480621099472,-6.74207210540771,-6.5786280632019,"bike"
-2.61510682106018,-10.9643802642822,-6.49690580368042,"bike"
-3.96352124214172,-9.67044734954834,-5.43451881408691,"bike"
-5.40727806091309,-9.09839248657227,-4.54919624328613,"bike"
-4.2631688117981,-9.31631755828857,-5.81588840484619,"bike"
-3.40508699417114,-10.0518169403076,-6.23811912536621,"bike"
-2.86027312278748,-9.41166019439697,-5.08038949966431,"bike"
-3.65025329589844,-8.58081912994385,-3.66387343406677,"bike"
-4.08610439300537,-8.58081912994385,-4.65815877914429,"bike"
-3.35060548782349,-9.0302906036377,-5.81588840484619,"bike"
-2.73768997192383,-8.96218872070312,-5.63882398605347,"bike"
-3.21440196037292,-6.1700177192688,-5.52986097335815,"bike"
-2.99647641181946,-6.70121097564697,-7.19154357910156,"bike"
-2.2064962387085,-4.35851144790649,-6.42880392074585,"bike"
-0.749119102954865,-4.35851144790649,-7.58653354644775,"bike"
-1.57996034622192,-2.68320846557617,-7.49119138717651,"bike"
-0.258786618709564,-0.626536011695862,-6.74207210540771,"bike"
-0.326888352632523,-1.67530274391174,-6.81017398834229,"bike"
-1.29393303394318,-3.37784624099731,-6.81017398834229,"bike"
-2.57424569129944,-7.72273731231689,-7.02809953689575,"bike"
-3.0373375415802,-9.07115173339844,-6.41518354415894,"bike"
-4.12696552276611,-8.56719875335693,-5.08038949966431,"bike"
-4.61729764938354,-10.1743993759155,-5.20297288894653,"bike"
-4.38575220108032,-9.4389009475708,-5.9248514175415,"bike"
-3.89541935920715,-10.2288808822632,-6.19725799560547,"bike"
-3.82731771469116,-9.13925361633301,-5.13487100601196,"bike"
-3.21440196037292,-8.04962539672852,-4.03162288665771,"bike"
-2.45166254043579,-8.68978214263916,-4.54919624328613,"bike"
-2.92837476730347,-9.09839248657227,-5.20297288894653,"bike"
-1.11686849594116,-9.83389091491699,-5.81588840484619,"bike"
-1.4846179485321,-9.60234546661377,-6.14277696609497,"bike"
-2.15201497077942,-7.43670988082886,-7.30050659179688,"bike"
-1.70254349708557,-7.31412649154663,-7.68187618255615,"bike"
-2.01581144332886,-3.65025329589844,-7.12344169616699,"bike"
-2.01581144332886,-1.37565517425537,-7.06896066665649,"bike"
-1.53909933567047,-0.980665028095245,-6.48328542709351,"bike"
0.749119102954865,-1.21221089363098,-5.54348134994507,"bike"
-0.681017398834229,-1.4846179485321,-6.34708213806152,"bike"
-2.31545901298523,-6.61948919296265,-6.76931285858154,"bike"
-2.79217123985291,-8.51271724700928,-6.02019357681274,"bike"
-3.05095791816711,-8.18582916259766,-5.36641693115234,"bike"
-4.38575220108032,-10.0109558105469,-6.36070251464844,"bike"
-4.72626066207886,-9.13925361633301,-5.35279655456543,"bike"
-4.30402994155884,-10.7192134857178,-6.5786280632019,"bike"
-3.09181904792786,-8.96218872070312,-4.69901990890503,"bike"
-2.62872719764709,-8.18582916259766,-3.88179898262024,"bike"
-2.68320846557617,-8.86684608459473,-5.20297288894653,"bike"
-3.21440196037292,-8.96218872070312,-5.13487100601196,"bike"
-2.07029294967651,-9.30269718170166,-5.18935251235962,"bike"
-2.66958808898926,-8.28117179870605,-7.06896066665649,"bike"
-1.66168236732483,-8.24031066894531,-7.19154357910156,"bike"
-2.50614404678345,-3.37784624099731,-4.60367774963379,"bike"
-2.86027312278748,-1.87960803508759,-6.8237943649292,"bike"
-1.40289580821991,-0.23154591023922,-6.04743432998657,"bike"
-2.32907938957214,-2.75131034851074,-9.52062320709229,"bike"
-1.66168236732483,-2.98285603523254,-6.75569248199463,"bike"
-2.45166254043579,-8.92132759094238,-6.59224843978882,"bike"
-3.0373375415802,-8.51271724700928,-5.58434247970581,"bike"
-4.12696552276611,-10.7873153686523,-6.02019357681274,"bike"
-3.63663291931152,-10.7873153686523,-5.63882398605347,"bike"
