"user","x","y","z","class"
"1",-0.72387695,5.455307,-9.2669525,"bus"
"1",-0.84646606,5.313675,-8.1957855,"bus"
"1",-0.49417114,4.839981,-7.7482758,"bus"
"1",-0.2501831,4.665024,-8.41716,"bus"
"1",-0.1680603,4.8935394,-8.410019,"bus"
"1",-0.028808594,5.4196014,-8.887283,"bus"
"1",-0.060943604,5.4457855,-8.812302,"bus"
"1",-0.7429199,5.4648285,-9.05748,"bus"
"1",-0.5477295,5.3446198,-8.709946,"bus"
"1",-1.134491,4.994705,-8.133896,"bus"
"1",-0.92977905,4.4388885,-7.9827423,"bus"
"1",-0.097839355,4.5995636,-8.09819,"bus"
"1",0.16519165,4.7519073,-7.8184967,"bus"
"1",0.06640625,5.306534,-8.271957,"bus"
"1",0.39608765,5.392227,-8.925369,"bus"
"1",-0.11331177,4.800705,-7.787552,"bus"
"1",-0.538208,4.9828033,-7.9065704,"bus"
"1",-0.4060974,4.6745453,-7.7780304,"bus"
"1",-0.9238281,4.923294,-8.962265,"bus"
"1",-0.92025757,5.2267914,-8.99559,"bus"
"1",-0.93930054,5.9789886,-9.320511,"bus"
"1",-1.0940247,6.1384735,-8.9944,"bus"
"1",-1.1237793,6.1396637,-9.346695,"bus"
"1",-0.473938,5.6005096,-8.658768,"bus"
"1",-0.32040405,5.5231476,-9.12413,"bus"
"1",-0.72506714,4.3555756,-7.1579437,"bus"
"1",-1.2939758,4.4972076,-7.847061,"bus"
"1",-0.85717773,4.4722137,-7.506668,"bus"
"1",-0.17163086,4.711441,-8.058914,"bus"
"1",-0.16210938,5.1137238,-7.594742,"bus"
"1",-0.19900513,5.526718,-8.502853,"bus"
"1",-0.4156189,5.781418,-8.629013,"bus"
"1",-0.32159424,5.7718964,-8.549271,"bus"
"1",-0.46322632,6.3384247,-9.115799,"bus"
"1",-0.14544678,6.3360443,-8.571884,"bus"
"1",-0.3572998,6.0349274,-8.2981415,"bus"
"1",-0.589386,5.9194794,-8.513565,"bus"
"1",-0.77505493,5.5755157,-7.7970734,"bus"
"1",-0.2668457,5.807602,-8.336227,"bus"
"1",-0.119262695,6.096817,-8.204117,"bus"
"1",-0.10140991,6.038498,-8.360031,"bus"
"1",-0.3085022,5.7028656,-7.7518463,"bus"
"1",-0.5155945,5.436264,-7.64592,"bus"
"1",-0.4656067,5.0363617,-7.3281403,"bus"
"1",-0.4965515,5.320816,-7.353134,"bus"
"1",0.059265137,5.660019,-7.4519196,"bus"
"1",0.21875,5.9004364,-8.127945,"bus"
"1",-0.6227112,5.636215,-7.3757477,"bus"
"1",-0.5155945,5.3672333,-7.243637,"bus"
"1",-0.5560608,5.750473,-7.58284,"bus"
"1",-0.84051514,6.2027435,-8.238632,"bus"
"1",-0.5786743,6.5478973,-9.319321,"bus"
"1",-0.61676025,7.6714325,-9.439529,"bus"
"1",-0.049041748,6.834732,-8.849197,"bus"
"1",-0.30493164,7.686905,-9.882278,"bus"
"1",-0.28945923,7.1715546,-7.3936005,"bus"
"1",-0.769104,6.333664,-6.8984833,"bus"
"1",-0.031188965,6.493149,-7.685196,"bus"
"1",-0.30612183,5.8444977,-6.9187164,"bus"
"1",0.13067627,5.738571,-7.275772,"bus"
"1",-0.13354492,5.6385956,-7.094864,"bus"
"1",-0.022857666,5.557663,-6.6235504,"bus"
"1",0.4984436,5.9444733,-7.6828156,"bus"
"1",-0.28112793,5.865921,-7.5292816,"bus"
"1",-0.9440613,5.706436,-7.372177,"bus"
"1",-0.72506714,6.2658234,-7.466202,"bus"
"1",-0.04071045,6.6443024,-7.7899323,"bus"
"1",0.48892212,6.807358,-7.3114777,"bus"
"1",0.79122925,6.916855,-7.885147,"bus"
"1",0.47583008,6.700241,-7.943466,"bus"
"1",0.82455444,6.931137,-7.8030243,"bus"
"1",0.500824,6.801407,-7.58284,"bus"
"1",-0.43704224,6.596695,-7.511429,"bus"
"1",-0.4060974,6.718094,-7.812546,"bus"
"1",-0.024047852,7.296524,-7.1996,"bus"
"1",0.7269592,8.014206,-6.609268,"bus"
"1",0.74838257,7.4583893,-6.788986,"bus"
"1",1.2958679,7.322708,-7.0662994,"bus"
"1",1.5446167,6.865677,-6.824692,"bus"
"1",2.1182861,6.8573456,-6.422409,"bus"
"1",1.5803223,6.5871735,-5.460739,"bus"
"1",1.1839905,6.2527313,-6.9187164,"bus"
"1",2.001648,6.9204254,-7.3043365,"bus"
"1",0.9519043,6.750229,-6.8984833,"bus"
"1",0.8293152,6.6324005,-7.26268,"bus"
"1",1.450592,6.69191,-7.410263,"bus"
"1",1.2720642,6.688339,-6.410507,"bus"
"1",1.5922241,6.963272,-7.274582,"bus"
"1",0.911438,6.8252106,-6.7973175,"bus"
"1",0.3163452,7.059677,-8.254105,"bus"
"1",0.5627136,7.1251373,-7.6875763,"bus"
"1",-0.49417114,6.7930756,-7.595932,"bus"
"1",-0.5715332,7.226303,-7.8161163,"bus"
"1",-0.32873535,6.6466827,-7.250778,"bus"
"1",-0.51083374,7.46315,-8.280289,"bus"
"1",-0.32040405,7.373886,-7.3245697,"bus"
"1",1.0280762,6.159897,-7.0079803,"bus"
"1",0.065216064,6.462204,-6.6187897,"bus"
"1",0.44726562,6.7228546,-7.2971954,"bus"
"1",0.40203857,6.82164,-7.885147,"bus"
"1",0.118774414,6.328903,-6.8175507,"bus"
"1",-0.25494385,6.7216644,-7.366226,"bus"
"1",-0.5120239,6.893051,-7.19841,"bus"
"1",0.6781616,6.5990753,-7.7018585,"bus"
"1",0.7519531,7.552414,-8.047012,"bus"
"1",-0.19543457,7.070389,-6.9258575,"bus"
"1",-0.35610962,6.3896027,-6.993698,"bus"
"1",-0.30374146,7.3441315,-8.191025,"bus"
"1",0.06283569,6.8252106,-7.4066925,"bus"
"1",-1.1261597,6.577652,-6.7985077,"bus"
"1",-0.8167114,7.103714,-7.2067413,"bus"
"1",-0.64294434,6.641922,-7.449539,"bus"
"1",-0.60723877,6.5038605,-7.3555145,"bus"
"1",-0.97976685,6.5169525,-8.28981,"bus"
"1",-0.25375366,6.1503754,-8.695663,"bus"
"1",0.123535156,6.2539215,-7.879196,"bus"
"1",-1.1618652,6.583603,-7.287674,"bus"
"1",-1.0273743,5.9278107,-6.9829865,"bus"
"1",-0.4060974,5.9528046,-7.467392,"bus"
"1",-0.93096924,5.2470245,-5.9748993,"bus"
"1",0.08425903,5.373184,-8.410019,"bus"
"1",-0.63342285,6.237259,-7.256729,"bus"
"1",0.24731445,6.0420685,-7.4126434,"bus"
"1",-0.13830566,7.789261,-7.160324,"bus"
"1",-0.9500122,7.617874,-7.691147,"bus"
"1",-0.050231934,6.680008,-7.500717,"bus"
"1",0.19018555,5.8813934,-8.620682,"bus"
"1",-1.045227,7.2477264,-8.638535,"bus"
"1",-1.9009705,6.2098846,-6.537857,"bus"
"1",-1.3737183,6.4193573,-7.7530365,"bus"
"1",-1.249939,6.8359222,-7.7732697,"bus"
"1",-1.885498,7.5809784,-8.843246,"bus"
"1",-0.83813477,6.7621307,-8.915848,"bus"
"1",-1.2011414,5.518387,-7.6423492,"bus"
"1",-0.7607727,5.646927,-9.851334,"bus"
"1",-0.44299316,6.468155,-9.013443,"bus"
"1",-1.2927856,4.0151825,-5.2381744,"bus"
"1",0.22946167,5.8754425,-8.189835,"bus"
"1",-0.82980347,2.8011932,-3.5528717,"bus"
"1",1.3375244,4.794754,-10.236954,"bus"
"1",-0.34658813,4.3103485,-4.690689,"bus"
"1",-0.00024414062,4.8185577,-8.692093,"bus"
"1",-1.2237549,7.4345856,-6.517624,"bus"
"1",-0.84646606,5.7326202,-7.434067,"bus"
"1",-1.8640747,8.143936,-8.659958,"bus"
"1",-2.2235107,4.9078217,-6.4140778,"bus"
"1",-1.2963562,6.853775,-8.467148,"bus"
"1",1.0090332,5.9980316,-10.594009,"bus"
"1",0.5960388,9.39006,-10.302414,"bus"
"1",-1.1678162,4.787613,-7.0270233,"bus"
"1",-1.0606995,7.0311127,-11.667557,"bus"
"1",-2.0426025,6.872818,-4.3229218,"bus"
"1",0.86621094,2.9011688,-10.538071,"bus"
"1",-1.179718,8.517654,-7.8863373,"bus"
"1",-2.962616,3.063034,-4.8906403,"bus"
"1",-2.0759277,5.341049,-11.378342,"bus"
"1",-2.4389343,4.686447,-6.0546417,"bus"
"1",-2.5115356,3.8485565,-5.801132,"bus"
"1",-1.923584,5.6076508,-8.340988,"bus"
"1",-1.5213013,4.3746185,-5.9879913,"bus"
"1",-1.0380859,5.7350006,-7.895859,"bus"
"1",-0.2013855,6.358658,-6.2200775,"bus"
"1",0.7138672,8.1141815,-11.452133,"bus"
"1",-0.46917725,7.1263275,-7.319809,"bus"
"1",-1.5570068,6.925186,-9.335983,"bus"
"1",-1.4391785,7.5881195,-9.708511,"bus"
"1",-1.4796448,5.173233,-6.9199066,"bus"
"1",-2.2342224,5.2267914,-8.319565,"bus"
"1",-1.9652405,5.8373566,-8.473099,"bus"
"1",-0.788147,4.205612,-7.697098,"bus"
"1",-0.6798401,4.7709503,-7.96846,"bus"
"1",-2.0628357,4.467453,-6.421219,"bus"
"1",-1.5082092,3.3689117,-6.9782257,"bus"
"1",-2.2270813,4.122299,-6.6747284,"bus"
"1",-2.2604065,3.672409,-6.4640656,"bus"
"1",-2.3353882,4.5412445,-7.9018097,"bus"
"1",-2.263977,5.1053925,-7.9398956,"bus"
"1",-2.1889954,5.92424,-8.8563385,"bus"
"1",-1.968811,6.4788666,-9.309799,"bus"
"1",-1.8807373,6.4788666,-9.395493,"bus"
"1",-2.47583,6.9454193,-9.620438,"bus"
"1",-2.5377197,7.616684,-10.586868,"bus"
"1",-2.5377197,6.475296,-7.8994293,"bus"
"1",-1.1333008,5.550522,-8.583786,"bus"
"1",-1.692688,6.7668915,-8.984879,"bus"
"1",-1.3689575,6.1694183,-7.7530365,"bus"
"1",-1.3987122,5.3172455,-6.9199066,"bus"
"1",-1.8557434,5.223221,-7.58165,"bus"
"1",-1.5831909,5.385086,-8.004166,"bus"
"1",-1.6367493,5.3101044,-7.8494415,"bus"
"1",-2.1187744,4.9340057,-7.5673676,"bus"
"1",-1.6807861,4.7792816,-8.137466,"bus"
"1",-0.8619385,4.237747,-7.0853424,"bus"
"1",-2.557953,4.4626923,-7.479294,"bus"
"1",-0.6191406,4.0473175,-8.502853,"bus"
"1",-1.263031,5.0077972,-8.296951,"bus"
"1",-1.7510071,5.3553314,-7.6363983,"bus"
"1",-1.1999512,4.4055634,-6.8996735,"bus"
"1",-1.9723816,4.480545,-7.351944,"bus"
"1",-1.9938049,4.744766,-7.6566315,"bus"
"1",-2.0295105,5.032791,-7.8054047,"bus"
"1",-2.044983,5.2482147,-7.847061,"bus"
"1",-1.9807129,5.6445465,-8.433823,"bus"
"1",-2.1985168,5.6112213,-8.076767,"bus"
"1",-2.3758545,5.435074,-8.371933,"bus"
"1",-2.6055603,5.615982,-9.107468,"bus"
"1",-2.7495728,5.877823,-8.947983,"bus"
"1",-2.8674011,5.7338104,-8.508804,"bus"
"1",-1.9795227,5.4338837,-9.074142,"bus"
"1",-1.9331055,6.076584,-9.172928,"bus"
"1",-1.4546509,6.1313324,-8.440964,"bus"
"1",-0.90478516,5.711197,-8.216019,"bus"
"1",-0.9857178,5.550522,-8.083908,"bus"
"1",-0.8107605,4.9244843,-7.660202,"bus"
"1",-0.8428955,5.21846,-7.8565826,"bus"
"1",-0.7595825,5.4065094,-7.892288,"bus"
"1",-0.8024292,5.2327423,-7.8553925,"bus"
"1",-0.76434326,4.9709015,-7.993454,"bus"
"1",-1.4594116,4.7352448,-7.857773,"bus"
"1",-1.3844299,4.64122,-7.942276,"bus"
"1",-1.5891418,4.7471466,-8.310043,"bus"
"1",-1.6069946,4.8233185,-8.370743,"bus"
"1",-1.8735962,4.710251,-8.360031,"bus"
"1",-2.0866394,4.6626434,-8.60878,"bus"
"1",-2.0545044,4.4829254,-8.177933,"bus"
"1",-1.9390564,4.6364594,-8.174362,"bus"
"1",-1.7712402,5.006607,-8.333847,"bus"
"1",-1.6105652,4.857834,-7.942276,"bus"
"1",-1.493927,4.9566193,-8.617111,"bus"
"1",-1.1963806,5.1113434,-8.669479,"bus"
"1",-1.2523193,5.269638,-8.962265,"bus"
"1",-1.249939,5.41127,-8.348129,"bus"
"1",-0.56082153,5.3993683,-8.870621,"bus"
"1",-0.6619873,5.0994415,-8.130325,"bus"
"1",-0.6643677,5.3946075,-8.942032,"bus"
"1",-0.03475952,5.377945,-9.345505,"bus"
"1",-0.65008545,5.646927,-8.16008,"bus"
"1",-0.95477295,5.4136505,-7.749466,"bus"
"1",-1.0880737,5.4005585,-9.081284,"bus"
"1",-0.42156982,5.1125336,-9.2026825,"bus"
"1",-1.493927,4.595993,-7.6697235,"bus"
"1",-0.97857666,5.590988,-9.408585,"bus"
"1",-0.014526367,5.488632,-8.562363,"bus"
"1",-1.1785278,4.3472443,-8.48024,"bus"
"1",-1.5034485,4.780472,-9.005112,"bus"
"1",-0.852417,4.397232,-8.41716,"bus"
"1",-1.5213013,4.6055145,-7.941086,"bus"
"1",-1.013092,4.159195,-8.283859,"bus"
"1",-0.77386475,4.2198944,-8.177933,"bus"
"1",-0.6893616,4.794754,-8.5099945,"bus"
"1",-0.5132141,3.99971,-7.6363983,"bus"
"1",0.1199646,4.6697845,-7.898239,"bus"
"1",-1.4022827,4.404373,-7.0603485,"bus"
"1",-0.063323975,4.7590485,-9.628769,"bus"
"1",-0.038330078,5.3553314,-8.648056,"bus"
"1",-1.276123,5.1756134,-8.549271,"bus"
"1",-0.621521,6.076584,-9.575211,"bus"
"1",-0.621521,5.864731,-8.938461,"bus"
"1",-0.62628174,5.2291718,-8.493332,"bus"
"1",-0.5048828,5.443405,-8.938461,"bus"
"1",-1.0583191,5.6516876,-9.394302,"bus"
"1",-1.1225891,5.204178,-8.506424,"bus"
"1",-0.557251,5.1815643,-9.096756,"bus"
"1",-1.2225647,5.1898956,-8.156509,"bus"
"1",-0.85479736,4.7400055,-8.487381,"bus"
"1",-0.48464966,4.876877,-8.623062,"bus"
"1",-0.44180298,4.7709503,-8.106522,"bus"
"1",-0.9262085,4.667404,-8.317184,"bus"
"1",-0.8250427,4.365097,-8.154129,"bus"
"1",-0.87145996,4.165146,-8.338608,"bus"
"1",-1.4891663,4.57695,-7.923233,"bus"
"1",-0.6310425,4.8423615,-9.05748,"bus"
"1",-0.7036438,5.0399323,-8.139847,"bus"
"1",-0.7345886,4.891159,-8.379074,"bus"
"1",-0.9523926,4.620987,-8.533798,"bus"
"1",-1.0345154,5.02684,-8.705185,"bus"
"1",-0.94525146,4.8625946,-8.296951,"bus"
"1",-0.852417,5.441025,-9.150314,"bus"
"1",-1.1940002,5.191086,-8.35527,"bus"
"1",-1.0868835,4.96019,-9.038437,"bus"
"1",-1.1582947,5.383896,-9.012253,"bus"
"1",-0.9250183,5.145859,-8.526657,"bus"
"1",-0.83932495,5.21846,-8.953934,"bus"
"1",-1.0821228,5.370804,-8.825394,"bus"
"1",-1.1999512,4.699539,-8.129135,"bus"
"1",-0.78933716,4.76857,-8.886093,"bus"
"1",-0.92263794,5.153,-8.446915,"bus"
"1",-0.63461304,4.9006805,-8.383835,"bus"
"1",-0.50131226,4.866165,-8.523087,"bus"
"1",-0.96429443,4.838791,-8.379074,"bus"
"1",-0.7631531,4.845932,-8.715897,"bus"
"1",-0.7798157,4.812607,-8.28862,"bus"
"1",-0.79052734,4.730484,-8.294571,"bus"
"1",-0.56796265,4.8221283,-8.634964,"bus"
"1",-0.6774597,4.9340057,-8.529037,"bus"
"1",-0.63461304,4.828079,-8.400497,"bus"
"1",-0.5536804,4.7269135,-8.659958,"bus"
"1",-0.53463745,5.037552,-8.562363,"bus"
"1",-0.6381836,4.9970856,-8.530228,"bus"
"1",-0.5239258,4.826889,-8.107712,"bus"
"1",-0.22875977,4.9197235,-8.823013,"bus"
"1",-0.46084595,4.8292694,-8.646866,"bus"
"1",-0.34658813,4.467453,-8.460007,"bus"
"1",-0.5132141,4.436508,-8.6064,"bus"
"1",-0.16925049,4.9185333,-9.084854,"bus"
"1",-0.30374146,4.89592,-9.030106,"bus"
"1",-0.3834839,4.537674,-9.002731,"bus"
"1",-0.31326294,4.4769745,-9.269333,"bus"
"1",-0.60009766,4.4912567,-9.37764,"bus"
"1",-0.6227112,4.159195,-9.203873,"bus"
"1",-0.44299316,3.99971,-9.515701,"bus"
"1",-0.15853882,3.9056854,-9.534744,"bus"
"1",-0.15258789,3.9199677,-9.284805,"bus"
"1",-0.09307861,3.8592682,-9.214584,"bus"
"1",0.003326416,3.6259918,-9.007492,"bus"
"1",-0.29779053,3.390335,-9.075333,"bus"
"1",0.048553467,3.3284454,-9.1515045,"bus"
"1",0.36395264,3.3617706,-9.912033,"bus"
"1",-0.04547119,3.6069489,-9.384781,"bus"
"1",-0.13235474,3.48674,-8.8884735,"bus"
"1",-0.38467407,3.3010712,-9.396683,"bus"
"1",-0.5739136,3.4522247,-9.228867,"bus"
"1",-0.43347168,3.4712677,-9.264572,"bus"
"1",-0.275177,3.735489,-8.955124,"bus"
"1",-0.22042847,4.074692,-9.277664,"bus"
"1",-0.06689453,4.1437225,-8.984879,"bus"
"1",-0.2906494,4.378189,-8.908707,"bus"
"1",0.06402588,4.5460052,-9.265762,"bus"
"1",-0.12283325,4.600754,-9.115799,"bus"
"1",-0.6131897,4.6959686,-8.644485,"bus"
"1",-0.4906006,4.710251,-9.007492,"bus"
"1",-0.50964355,4.6447906,-9.065811,"bus"
"1",-0.47869873,4.7578583,-9.228867,"bus"
"1",-0.4322815,4.763809,-9.05867,"bus"
"1",-0.5655823,4.6935883,-8.8884735,"bus"
"1",-0.32635498,4.3603363,-9.143173,"bus"
"1",-0.4965515,4.4710236,-8.949173,"bus"
"1",-0.6119995,4.5352936,-8.511185,"bus"
"1",-0.51916504,4.3222504,-8.967026,"bus"
"1",-0.5822449,4.2913055,-9.218155,"bus"
"1",-0.589386,4.0615997,-9.001541,"bus"
"1",-0.48583984,3.9878082,-9.159836,"bus"
"1",-0.27398682,4.0592194,-9.190781,"bus"
"1",-0.17163086,4.0615997,-8.838486,"bus"
"1",-0.40252686,4.1615753,-8.626633,"bus"
"1",-0.30255127,4.088974,-8.615921,"bus"
"1",-0.38824463,4.1306305,-8.93013,"bus"
"1",-0.66793823,4.2984467,-8.650436,"bus"
"1",-0.65127563,4.3817596,-8.840866,"bus"
"1",-0.63461304,4.7019196,-9.412155,"bus"
"1",-0.73101807,4.4507904,-9.0229645,"bus"
"1",-0.4977417,4.3103485,-9.487137,"bus"
"1",-0.6643677,3.948532,-9.090805,"bus"
"1",-0.53344727,3.7271576,-9.599014,"bus"
"1",-0.42514038,3.6664581,-9.396683,"bus"
"1",-0.60128784,3.3677216,-8.809921,"bus"
"1",-0.6691284,3.2082367,-9.021774,"bus"
