"user","timestamp","x","y","z","class"
"24c9","2000-01-01 12:00:04",0.7038953,10.896012,-1.2401965,"train"
"24c9","2000-01-01 12:00:04",0.50278234,10.884041,-0.29448682,"train"
"24c9","2000-01-01 12:00:04",0.37588966,10.737994,0.5770026,"train"
"24c9","2000-01-01 12:00:04",-0.062249243,10.716447,3.0095115,"train"
"24c9","2000-01-01 12:00:05",-0.7015011,11.066,6.1195793,"train"
"24c9","2000-01-01 12:00:05",-1.2018893,11.188105,6.9288197,"train"
"24c9","2000-01-01 12:00:05",-1.0941502,10.754754,5.08289,"train"
"24c9","2000-01-01 12:00:05",-0.12928689,9.718064,1.3024458,"train"
"24c9","2000-01-01 12:00:05",0.2657564,9.059659,-0.39743748,"train"
"24c9","2000-01-01 12:00:05",0.31124622,8.6334915,-1.0151415,"train"
"24c9","2000-01-01 12:00:05",0.33279404,8.312668,-0.8810662,"train"
"24c9","2000-01-01 12:00:05",0.31364042,8.180987,-0.11731588,"train"
"24c9","2000-01-01 12:00:05",0.2753332,8.190564,1.0175357,"train"
"24c9","2000-01-01 12:00:05",0.11492168,8.23366,2.0278888,"train"
"24c9","2000-01-01 12:00:05",-0.08619126,8.497022,3.2154129,"train"
"24c9","2000-01-01 12:00:05",-0.08619126,8.863335,4.120421,"train"
"24c9","2000-01-01 12:00:05",-0.08619126,9.126697,4.1299977,"train"
"24c9","2000-01-01 12:00:05",0.035913024,9.40203,3.5625722,"train"
"24c9","2000-01-01 12:00:05",0.11971009,9.660604,2.7150247,"train"
"24c9","2000-01-01 12:00:06",0.1316811,9.873688,2.018312,"train"
"24c9","2000-01-01 12:00:06",-0.079008654,9.840169,1.6759412,"train"
"24c9","2000-01-01 12:00:06",0.04070143,10.065224,1.5155296,"train"
"24c9","2000-01-01 12:00:06",-0.090979666,10.398018,1.8626889,"train"
"24c9","2000-01-01 12:00:06",-0.39743748,10.512939,2.2768857,"train"
"24c9","2000-01-01 12:00:06",-0.6919243,10.553641,2.5905263,"train"
"24c9","2000-01-01 12:00:06",-0.91937345,10.3932295,2.7724855,"train"
"24c9","2000-01-01 12:00:06",-1.1013328,10.132261,2.7988217,"train"
"24c9","2000-01-01 12:00:06",-1.2473791,9.739613,2.7964275,"train"
"24c9","2000-01-01 12:00:06",-1.1899183,9.411607,2.8323407,"train"
"24c9","2000-01-01 12:00:06",-1.0510546,9.030929,2.8993783,"train"
"24c9","2000-01-01 12:00:06",-0.9983821,8.75799,2.944868,"train"
"24c9","2000-01-01 12:00:06",-1.0151415,8.477868,2.9783869,"train"
"24c9","2000-01-01 12:00:06",-1.0965444,8.212111,3.0502129,"train"
"24c9","2000-01-01 12:00:06",-1.2449849,7.955932,3.0669725,"train"
